"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Логин курьера","1","0","Неверные данные","0"
"0","","0","Получение заказа по треку","1","0","Без трека","0"
"0","","1","Создание курьера","2","0","Отсутствие обязательных полей","0"
"0","","0","Логин курьера","1","0","Успешный логин","0"
"0","","0","Принятие заказа","1","0","Неверный id заказа","0"
"0","","0","Принятие заказа","1","0","Успешное принятие","0"
"0","","0","Создание заказа","4","0","Цвет самоката","0"
"0","","0","Удаление курьера","1","0","Без id","0"
"0","","0","Список заказов","1","0","Получение списка","0"
"0","","1","Логин курьера","1","0","Отсутствие обязательных полей","0"
"0","","0","Получение заказа по треку","1","0","Успешное получение","0"
"0","","0","Удаление курьера","1","0","Несуществующий id","0"
"0","","0","Принятие заказа","1","0","Без id курьера","0"
"0","","0","Принятие заказа","1","0","Неверный id курьера","0"
"0","","0","Удаление курьера","1","0","Успешное удаление","0"
"0","","0","Создание курьера","1","0","Дубликат","0"
"0","","0","Получение заказа по треку","1","0","Несуществующий трек","0"
"0","","1","Принятие заказа","0","0","Без id заказа","0"
"0","","0","Логин курьера","1","0","Несуществующий пользователь","0"
"0","","0","Создание курьера","1","0","Успешное создание","0"
