"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что система возвращает 404 при неверном пароле","711","Логин с неверным паролем","tests","2026-06-15","passed","2026-06-15","TestLoginCourier","test_login_courier","",""
"Проверяем, что запрос без track возвращает 400","697","Получение заказа без трека","tests","2026-06-15","passed","2026-06-15","TestGetOrderByTrack","test_get_order_by_track","",""
"Параметризованный тест: отсутствует login, password или firstName. Ожидаем статус 400","709","Создание курьера без одного из полей","tests","2026-06-15","passed","2026-06-15","TestCreateCourier","test_create_courier","",""
"Проверяем, что курьер может авторизоваться: статус 200 и в ответе есть id","691","Успешный логин курьера","tests","2026-06-15","passed","2026-06-15","TestLoginCourier","test_login_courier","",""
"Проверяем, что запрос с несуществующим order_id возвращает 404","706","Принятие заказа с неверным id заказа","tests","2026-06-15","passed","2026-06-15","TestAcceptOrder","test_accept_order","",""
"Проверяем, что заказ принимается: статус 200 и тело {""ok"": true}","773","Успешное принятие заказа","tests","2026-06-15","passed","2026-06-15","TestAcceptOrder","test_accept_order","",""
"Параметризованный тест: BLACK, GREY, оба цвета, без цвета. Проверяем наличие track в ответе","1501","Создание заказа с разными цветами","tests","2026-06-15","passed","2026-06-15","TestOrderScooterColors","test_order_scooter_colors","",""
"Проверяем, что запрос без id возвращает 404","696","Удаление курьера без id","tests","2026-06-15","passed","2026-06-15","TestDeleteCourier","test_delete_courier","",""
"Проверяем, что в ответе есть ключ ""orders"" и его значение — список","12510","Получение списка заказов","tests","2026-06-15","passed","2026-06-15","TestGetListOrders","test_get_list_order","",""
"Параметризованный тест: BLACK, GREY, оба цвета, без цвета. Проверяем наличие track в ответе","1529","Создание заказа с разными цветами","tests","2026-06-15","passed","2026-06-15","TestOrderScooterColors","test_order_scooter_colors","",""
"Параметризованный тест: отсутствует login или password. Ожидаем статус 400","705","Логин без одного из полей","tests","2026-06-15","passed","2026-06-15","TestLoginCourier","test_login_courier","",""
"Параметризованный тест: отсутствует login, password или firstName. Ожидаем статус 400","708","Создание курьера без одного из полей","tests","2026-06-15","passed","2026-06-15","TestCreateCourier","test_create_courier","",""
"Проверяем, что заказ находится по track: статус 200 и в ответе есть объект ""order""","733","Успешное получение заказа по треку","tests","2026-06-15","passed","2026-06-15","TestGetOrderByTrack","test_get_order_by_track","",""
"Параметризованный тест: отсутствует login или password. Ожидаем статус 400","60695","Логин без одного из полей","tests","2026-06-15","failed","2026-06-15","TestLoginCourier","test_login_courier","",""
"Параметризованный тест: отсутствует login, password или firstName. Ожидаем статус 400","723","Создание курьера без одного из полей","tests","2026-06-15","failed","2026-06-15","TestCreateCourier","test_create_courier","",""
"Проверяем, что запрос с несуществующим id возвращает 404","699","Удаление курьера с несуществующим id","tests","2026-06-15","passed","2026-06-15","TestDeleteCourier","test_delete_courier","",""
"Проверяем, что запрос без courierId возвращает 400","725","Принятие заказа без id курьера","tests","2026-06-15","passed","2026-06-15","TestAcceptOrder","test_accept_order","",""
"Проверяем, что запрос с несуществующим courierId возвращает 404","705","Принятие заказа с неверным id курьера","tests","2026-06-15","passed","2026-06-15","TestAcceptOrder","test_accept_order","",""
"Проверяем, что курьер удаляется: статус 200 и тело {""ok"": true}","2104","Успешное удаление курьера","tests","2026-06-15","passed","2026-06-15","TestDeleteCourier","test_delete_courier","",""
"Проверяем, что нельзя создать курьера с уже существующим логином: статус 409","696","Создание дубликата курьера","tests","2026-06-15","passed","2026-06-15","TestCreateCourier","test_create_courier","",""
"Проверяем, что запрос с несуществующим track возвращает 404","722","Получение заказа по несуществующему треку","tests","2026-06-15","passed","2026-06-15","TestGetOrderByTrack","test_get_order_by_track","",""
"Проверяем, что запрос без order_id возвращает 400","718","Принятие заказа без id заказа","tests","2026-06-15","failed","2026-06-15","TestAcceptOrder","test_accept_order","",""
"Проверяем, что система возвращает 404 для случайных логина и пароля","732","Логин под несуществующим пользователем","tests","2026-06-15","passed","2026-06-15","TestLoginCourier","test_login_courier","",""
"Параметризованный тест: BLACK, GREY, оба цвета, без цвета. Проверяем наличие track в ответе","1500","Создание заказа с разными цветами","tests","2026-06-15","passed","2026-06-15","TestOrderScooterColors","test_order_scooter_colors","",""
"Параметризованный тест: BLACK, GREY, оба цвета, без цвета. Проверяем наличие track в ответе","1518","Создание заказа с разными цветами","tests","2026-06-15","passed","2026-06-15","TestOrderScooterColors","test_order_scooter_colors","",""
"Проверяем, что курьера можно создать: статус 201 и тело {""ok"": true}","2240","Успешное создание курьера","tests","2026-06-15","passed","2026-06-15","TestCreateCourier","test_create_courier","",""
